train_acc,train_loss,val_acc,val_loss
0.027578947368421057,4.419567,0.034800000000000005,4.305327
0.046105263157894746,4.149611,0.05160000000000001,4.08612
0.06301052631578948,4.0218797,0.07600000000000001,4.000255
0.07873684210526317,3.9241605,0.084,3.8375823
0.09581052631578948,3.8253117,0.1,3.79254
0.11006315789473685,3.7340155,0.1272,3.6519785
0.12387368421052632,3.6333592,0.1324,3.5581644
0.1417684210526316,3.538916,0.138,3.5597222
0.1613473684210526,3.4398155,0.1592,3.437172
0.17669473684210527,3.3554358,0.18960000000000002,3.2965918
0.19075789473684213,3.261564,0.1996,3.2134244
0.20562105263157895,3.1868627,0.21280000000000002,3.1150122
0.2201684210526316,3.1050014,0.22959999999999997,3.0614595
0.2326315789473684,3.026965,0.2332,3.0552213
0.2469263157894737,2.9536664,0.2524,2.9563792
0.2583157894736842,2.8929589,0.2736,2.874419
0.2719157894736842,2.831984,0.27080000000000004,2.861191
0.28225263157894737,2.773192,0.2764,2.8719132
0.2951789473684211,2.716463,0.2528,2.9721007
0.3029894736842104,2.6672764,0.2928,2.7776499
0.31538947368421055,2.6189551,0.29359999999999997,2.7665298
0.3236210526315789,2.5772164,0.3128,2.6654718
0.33465263157894737,2.5308826,0.3044,2.7079315
0.3426526315789474,2.4841113,0.31880000000000003,2.610305
0.3543578947368421,2.444322,0.3384,2.5148633
0.35972631578947367,2.405311,0.33680000000000004,2.512284
0.3681684210526316,2.3730245,0.3488,2.5136554
0.3776631578947368,2.3424306,0.3604,2.4232748
0.3811157894736842,2.305096,0.3468,2.4337118
0.3863157894736842,2.2789416,0.3608,2.452947
0.3943578947368421,2.243928,0.37999999999999995,2.3229861
0.40385263157894735,2.2107875,0.3408,2.5377057
0.40431578947368424,2.1865938,0.37359999999999993,2.307107
0.41496842105263154,2.151992,0.37839999999999996,2.3229938
0.4205473684210526,2.134006,0.37079999999999996,2.3175042
0.4215157894736841,2.1135826,0.3944,2.2284338
0.43334736842105265,2.0844166,0.3892,2.2587326
0.43496842105263156,2.0571165,0.41600000000000004,2.1527648
0.4411368421052632,2.0273833,0.3948,2.2366488
0.4465263157894737,2.0150263,0.3932,2.1818998
0.4541473684210527,1.9862577,0.4036,2.188475
0.4577894736842105,1.9604083,0.41120000000000007,2.1797705
0.46383157894736843,1.9438788,0.40440000000000004,2.2156086
0.4657684210526316,1.9344336,0.42239999999999994,2.1082838
0.4698315789473684,1.912589,0.42639999999999995,2.137779
0.47526315789473683,1.884183,0.418,2.1904259
0.47692631578947375,1.8712567,0.43160000000000004,2.1437783
0.48242105263157903,1.8513874,0.43599999999999994,2.0689478
0.4885473684210526,1.838531,0.42680000000000007,2.099713
0.4886526315789474,1.8182586,0.42719999999999997,2.0661001
0.4941684210526316,1.8072121,0.44239999999999996,2.0455542
0.49844210526315785,1.7900805,0.4312,2.0784223
0.506,1.7659258,0.43520000000000003,2.0747879
0.5080421052631579,1.7452141,0.4428,2.0406148
0.5084421052631579,1.745185,0.44239999999999996,2.0648952
0.5156842105263157,1.7249498,0.4364,2.0812402
0.518821052631579,1.7103502,0.442,2.0310018
0.5215368421052632,1.6992514,0.4368,2.0952752
0.5242315789473685,1.6744102,0.45160000000000006,2.0124571
0.5264421052631579,1.6666095,0.45640000000000003,1.9789222
0.5310526315789474,1.653479,0.45480000000000004,2.0161436
0.5361263157894738,1.6412028,0.44120000000000004,2.0029676
0.5384210526315789,1.6316026,0.4576,2.0104735
0.5409473684210527,1.6075244,0.4644,1.935514
0.5443789473684212,1.6092691,0.46079999999999993,1.9653006
0.5449263157894737,1.5923129,0.4704,1.9306172
0.5479789473684211,1.5793166,0.4716,1.9385988
0.5529473684210526,1.5696603,0.4644,1.9347653
0.5576631578947369,1.5495787,0.47319999999999995,1.9314835
0.5598736842105264,1.5402926,0.462,1.9569046
0.5616631578947369,1.5371792,0.4716,1.9185811
0.5611789473684211,1.5271195,0.47800000000000004,1.8955919
0.5620210526315789,1.5213525,0.4732,1.9077588
0.566821052631579,1.5084119,0.4744,1.9140586
0.5682947368421053,1.5027153,0.46759999999999996,1.9140009
0.5741473684210527,1.4890451,0.47119999999999995,1.9085624
0.5735157894736842,1.485119,0.46879999999999994,1.9139744
0.5762526315789475,1.4708042,0.47559999999999997,1.8793727
0.5766947368421053,1.468131,0.47840000000000005,1.8776473
0.5762736842105264,1.4650935,0.47639999999999993,1.8936043
0.5792631578947368,1.4553314,0.4764,1.8997796
0.5814736842105264,1.4493084,0.4704,1.8891194
0.584421052631579,1.4456147,0.47159999999999996,1.8900086
0.5860842105263158,1.4351975,0.4764,1.8919852
0.5882526315789474,1.4289833,0.4764,1.891118
0.5878526315789473,1.4276893,0.4744,1.8825927
0.5907368421052631,1.4171747,0.4796,1.8765144
0.5894526315789473,1.4192251,0.47839999999999994,1.8832066
0.5894947368421053,1.4095492,0.48519999999999996,1.8762954
0.5954105263157894,1.4031188,0.4836,1.8729527
0.5941052631578948,1.4044172,0.48,1.8691043
0.5956421052631578,1.3972633,0.4824,1.870465
0.5961263157894737,1.3933833,0.4836,1.8746055
0.5956210526315789,1.3963122,0.4828,1.8836501
0.5971368421052631,1.3973938,0.4808,1.8747015
0.597957894736842,1.390201,0.47519999999999996,1.8758278
0.596378947368421,1.3850579,0.486,1.8777875
0.5983157894736844,1.388179,0.48,1.8725421
0.6008631578947368,1.3867837,0.48,1.8740066
0.5989894736842105,1.3892186,0.4811999999999999,1.8698825
